"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,,Sampling date,Item,,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,,,
7651,Iwate,"19 March,2012",Iwate,,Iwaizumi Town (Omoto River) (inland waters),"8 March,2012",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",Not detectable,,Not detectable,,Private inspection facility,,,
7652,Iwate,"19 March,2012",Iwate,,Shizukuishi Town (Hiraide River) (inland waters),"3 March,2012",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",8.5,,Not detectable,,Japan Chemical Analysis Center,,,
7653,Iwate,"19 March,2012",Iwate,,Miyako City (Kariya River) (inland waters),"6 March,2012",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",Not detectable,,Not detectable,,Private inspection facility,,,
7654,Iwate,"19 March,2012",Iwate,,Tono City (Kogarase River) (inland waters),"9 March,2012",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
7655,Iwate,"19 March,2012",Iwate,,Kitakata City (Wagagawa River) (inland waters),"5 March,2012",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",12,,Not detectable,,Japan Chemical Analysis Center,,,
7656,Chiba,"19 March,2012",Chiba,,"Teganuma Lake
(inland waters)","10 March,2012",__,,"Crucian carp
(Carassius sp.)",400,,Not detectable,,Private inspection facility,,,
7657,Chiba,"19 March,2012",Chiba,,"Katagai
Fishing Port","16 March,2012",_______,,"Anchovy
(Engraulis  japonicus)",,0.74,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
7658,Chiba,"19 March,2012",Chiba,,"Choshi
Fishing Port","14 March,2012",_____,,"Alfonsino
(Beryx splendens)",,4.9,Not detectable,,Japan Chemical Analysis Center,,,
7659,Chiba,"19 March,2012",Chiba,,"Katsuura-tobu
Fishing Port","15 March,2012",_____,,"Alfonsino
(Beryx splendens)",,0.97,Not detectable,,Japan Chemical Analysis Center,,,
7660,Chiba,"19 March,2012",Chiba,,"Choshi
Fishing Port","14 March,2012",___,,"Seabass
(Lateolabrax japonicus)",,94,Not detectable,,Private inspection facility,,,
7661,Chiba,"19 March,2012",Chiba,,"Choshi
Fishing Port","15 March,2012",___,,"Seabass
(Lateolabrax japonicus)",,66,Not detectable,,Japan Chemical Analysis Center,,,
7662,Chiba,"19 March,2012",Chiba,,"Shiraok
Fishing Port","14 March,2012",__,,"Japanese amberjack
(Seriola quinqueraduata)",,6.9,Not detectable,,Japan Chemical Analysis Center,,,
7663,Chiba,"19 March,2012",Chiba,,"Onuki
Fishing Port","14 March,2012",____,,"Golden cuttlefish
(Sepia esculenta)",Not detectable,,Not detectable,,Private inspection facility,,,
7664,Chiba,"19 March,2012",Chiba,,"Futtsu
Fishing Port","14 March,2012",____,,"Japanese black porgy
(Acanthopagrus schlegelii)",,3.6,Not detectable,,Private inspection facility,,,
7665,Chiba,"19 March,2012",Chiba,,"Futtsu
Fishing Port","14 March,2012",__________,,"Japanese geoduck
(Panopea  japonica)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
7666,Chiba,"19 March,2012",Chiba,,Egawa cultivation area,"11 March,2012",___,,Japanese littleneck clam (Venerupis  (Ruditapes) philippinarum),Not detectable,,Not detectable,,Private inspection facility,,,
7667,Chiba,"19 March,2012",Chiba,,Kutsuma cultivation area,"11 March,2012",___,,Japanese littleneck clam (Venerupis  (Ruditapes) philippinarum),Not detectable,,Not detectable,,Private inspection facility,,,
7668,Chiba,"19 March,2012",Chiba,,Ushigome cultivation area,"11 March,2012",___,,Japanese littleneck clam (Venerupis  (Ruditapes) philippinarum),Not detectable,,Not detectable,,Private inspection facility,,,
7669,Chiba,"19 March,2012",Chiba,,Ushigome cultivation area,"11 March,2012",____,,"Chinese mactra clam
(Mactra chinensis)",Not detectable,,Not detectable,,Private inspection facility,,,
7670,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"15 March,2012",____,,"Japanese sandlance
(Ammodytes  personatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7671,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",____,,"Fat greenling
(Hexagrammos otakii)",,18,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7672,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",_______,,"Red tongue sole
(Cynoglossus joyneri)",,145,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7673,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",________,,"Ishikawa icefish
(Salangichthys ishikawae)",,32,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7674,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"15 March,2012",________,,"Ishikawa icefish
(Salangichthys ishikawae)",,31,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7675,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"15 March,2012",________,,"Ishikawa icefish
(Salangichthys ishikawae)",,34,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7676,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",_______,,"Black cow-tongue
(Paraplagusia japonica)",,390,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7677,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"13 March,2012",____,,"Japanese black porgy
(Acanthopagrus schlegelii)",,95,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7678,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",______,,"Ocellate spot skate
(Okamejei  kenojei )",,720,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7679,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",______,,"Ocellate spot skate
(Okamejei  kenojei )",,420,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7680,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",______,,"Ocellate spot skate
(Okamejei  kenojei )",,230,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7681,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",______,,"Ocellate spot skate
(Okamejei  kenojei )",,152,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7682,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",____,,"Poacher
(Occella iburia)",,750,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7683,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",____,,"Poacher
(Occella iburia)",,1110,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7684,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"13 March,2012",_____,,"Rockfish
(Sebastes cheni)",,310,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7685,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"13 March,2012",_____,,"Slime flounder
(Microstomus achne)",,290,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7686,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",_____,,"Slime flounder
(Microstomus achne)",,43,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7687,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"13 March,2012",___,,"Olive flounder
(Paralichthys olivaceus)",,94,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7688,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",___,,"Olive flounder
(Paralichthys olivaceus)",,132,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7689,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",___,,"Olive flounder
(Paralichthys olivaceus)",,71,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7690,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",___,,"Olive flounder
(Paralichthys olivaceus)",,69,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7691,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",___,,"Olive flounder
(Paralichthys olivaceus)",,101,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7692,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",___,,"Olive flounder
(Paralichthys olivaceus)",,60,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7693,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,39,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7694,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,660,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7695,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,240,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7696,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",___,,"Flathead
(Platycephalus sp.)",,219,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7697,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",___,,"Pacific cod
(Gadus macrocephalus)",,72,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7698,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",_____,,"Shotted halibut
(Eopsetta  grigorjewi  )",,41,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7699,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"14 March,2012",________,,"Willowy flounder
(Tanakius  kitaharai)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7700,Fukushima,"21 March,2012",Fukushima,,Iwaki City,"15 March,2012",_____,,Surf clam (Pseudocardium sachalinense),,37,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7701,Fukushima,"21 March,2012",Fukushima,,Soma City,"14 March,2012",____,,"Fat greenling
(Hexagrammos otakii)",,53,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7702,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"14 March,2012",____,,"Fat greenling
(Hexagrammos otakii)",,218,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7703,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",____,,"Fat greenling
(Hexagrammos otakii)",,48,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7704,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",____,,"Fat greenling
(Hexagrammos otakii)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7705,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",____,,"Fat greenling
(Hexagrammos otakii)",,1140,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7706,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"15 March,2012",____,,"Fat greenling
(Hexagrammos otakii)",,172,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7707,Fukushima,"21 March,2012",Fukushima,,Soma City,"16 March,2012",____,,"Fat greenling
(Hexagrammos otakii)",,79,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7708,Fukushima,"21 March,2012",Fukushima,,Soma City,"14 March,2012",_____,,"Flathead flounder
(Hippoglossoides dubius)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7709,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",_____,,"Flathead flounder
(Hippoglossoides dubius)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7710,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",_____,,"Flathead flounder
(Hippoglossoides dubius)",,40,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7711,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",_____,,"Stone flounder
(Kareius bicoloratus)",,246,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7712,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",_____,,"Stone flounder
(Kareius bicoloratus)",,118,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7713,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"14 March,2012",_____,,"Goldeye rockfish
(Sebastes thompsoni)",,590,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7714,Fukushima,"21 March,2012",Fukushima,,Soma City,"14 March,2012",________,,"Brown hakeling
(Physiculus  maximowiczi)",,23,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7715,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",________,,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7716,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",_____,,"Redwing searobin
(Lepidotrigla microptera)",,70,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7717,Fukushima,"21 March,2012",Fukushima,,Soma City,"14 March,2012",_____,,"Monkfish
(Lophius litulon)",,35,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7718,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",_____,,"Monkfish
(Lophius litulon)",,81,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7719,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",___,,"Thornhead
(Sebastolobus macrochir)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7720,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"14 March,2012",______,,"Fox jacopever
(Sebastes vulpes)",,240,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7721,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",______,,"Fox jacopever
(Sebastes vulpes)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7722,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"14 March,2012",____,,"Black rockfish
(Sebastes schlegeli)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7723,Fukushima,"21 March,2012",Fukushima,,Soma City,"14 March,2012",______,,"Sea raven
(Hemitripterus villosus)",,33,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7724,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",______,,"Sea raven
(Hemitripterus villosus)",,46,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7725,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",______,,"Sea raven
(Hemitripterus villosus)",,61,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7726,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",______,,"Sea raven
(Hemitripterus villosus)",,45,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7727,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",______,,"Ocellate spot skate
(Okamejei  kenojei )",,520,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7728,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",______,,"Ocellate spot skate
(Okamejei  kenojei )",,340,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7729,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"15 March,2012",______,,"Ocellate spot skate
(Okamejei  kenojei )",,175,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7730,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",_____,,"Roughscale sole
(Clidoderma asperrimum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7731,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"15 March,2012",_____,,"Roughscale sole
(Clidoderma asperrimum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7732,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"14 March,2012",_____,,"Rockfish
(Sebastes cheni)",,370,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7733,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",___,,"Seabass
(Lateolabrax japonicus)",,61,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7734,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",___,,"Seabass
(Lateolabrax japonicus)",,56,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7735,Fukushima,"21 March,2012",Fukushima,,Soma City,"14 March,2012",_____,,"Slime flounder
(Microstomus achne)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7736,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",_____,,"Slime flounder
(Microstomus achne)",,76,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7737,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",_____,,"Slime flounder
(Microstomus achne)",,1000,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7738,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",_____,,"Slime flounder
(Microstomus achne)",,410,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7739,Fukushima,"21 March,2012",Fukushima,,Soma City,"16 March,2012",_____,,"Slime flounder
(Microstomus achne)",,105,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7740,Fukushima,"21 March,2012",Fukushima,,Soma City,"14 March,2012",___,,"Olive flounder
(Paralichthys olivaceus)",,67,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7741,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",___,,"Olive flounder
(Paralichthys olivaceus)",,70,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7742,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",___,,"Olive flounder
(Paralichthys olivaceus)",,84,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7743,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"15 March,2012",___,,"Olive flounder
(Paralichthys olivaceus)",,131,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7744,Fukushima,"21 March,2012",Fukushima,,Soma City,"16 March,2012",___,,"Olive flounder
(Paralichthys olivaceus)",,134,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7745,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",____,,"Gurnard
(Chelidonichthys spinosus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7746,Fukushima,"21 March,2012",Fukushima,,Soma City,"14 March,2012",____,,"Conger eel
(Conger myriaster)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7747,Fukushima,"21 March,2012",Fukushima,,Soma City,"14 March,2012",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,36,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7748,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,60,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7749,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,47,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7750,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,48,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7751,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"15 March,2012",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,86,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7752,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,65,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7753,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,160,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7754,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,140,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7755,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"15 March,2012",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,300,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7756,Fukushima,"21 March,2012",Fukushima,,Soma City,"16 March,2012",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,84,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7757,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",___,,"Pacific cod
(Gadus macrocephalus)",,57,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7758,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",___,,"Pacific cod
(Gadus macrocephalus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7759,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",___,,"Pacific cod
(Gadus macrocephalus)",,96,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7760,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",___,,"Pacific cod
(Gadus macrocephalus)",,170,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7761,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"15 March,2012",___,,"Pacific cod
(Gadus macrocephalus)",,91,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7762,Fukushima,"21 March,2012",Fukushima,,Soma City,"16 March,2012",___,,"Pacific cod
(Gadus macrocephalus)",,98,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7763,Fukushima,"21 March,2012",Fukushima,,Soma City,"14 March,2012",_____,,"Rikuzen flounder
(Dexistes rikuzenius)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7764,Fukushima,"21 March,2012",Fukushima,,Hirono Town,"15 March,2012",_____,,"Shotted halibut
(Eopsetta  grigorjewi  )",,50,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7765,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",______,,"Ridged-eye flounder
(Pleuronichthys cornutus)",,27,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7766,Fukushima,"21 March,2012",Fukushima,,Soma City,"14 March,2012",________,,"Willowy flounder
(Tanakius  kitaharai)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7767,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",_________,,"Snow crab(male)
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7768,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",_________,,"Snow crab(female)
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7769,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",______,,"Higoromo Shrimp
(Pandalopsis coccinata)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7770,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",_____,,"Chestnut octopus
(Octopus conispadiceus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7771,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",_______,,"Whelk
(Neptunea  constricta)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7772,Fukushima,"21 March,2012",Fukushima,,Minami-soma City,"14 March,2012",____,,"Whelk
(Beringius  polynematicus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7773,Fukushima,"21 March,2012",Fukushima,,Kitakata City (Ichinoto River) (inland watera),"13 March,2012",_______,,Whitespotted char(wild) (Salvelinus  leucomaenis),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7774,Fukushima,"21 March,2012",Fukushima,,Hinoemata Village (Inagawa River) (inland watera),"10 March,2012",_______,,Whitespotted char(wild) (Salvelinus  leucomaenis),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7775,Fukushima,"21 March,2012",Fukushima,,Hinoemata Village (Inagawa River) (inland watera),"14 March,2012",_______,,Whitespotted char(wild) (Salvelinus  leucomaenis),,10,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7776,Fukushima,"21 March,2012",Fukushima,,Nishigo Village (Abukuma River) (inland watera),"11 March,2012",_______,,Whitespotted char(wild) (Salvelinus  leucomaenis),,250,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7777,Fukushima,"21 March,2012",Fukushima,,Minami-aizu Town (Inagawa River) (inland watera),"14 March,2012",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",,27,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7778,Fukushima,"21 March,2012",Fukushima,,Kitakata City (Wasetani River) (inland watera),"14 March,2012",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",,11,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7779,Fukushima,"21 March,2012",Fukushima,,"Kitashiobara
Village
(Oshio River) (inland waters)","15 March,2012",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",,43,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7780,Fukushima,"21 March,2012",Fukushima,,Nishigo Village (Horikawa River) (inland waters),"11 March,2012",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",,300,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7781,Fukushima,"21 March,2012",Fukushima,,Date City (Nunogawa River) (inland waters),"12 March,2012",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",,760,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7782,Fukushima,"21 March,2012",Fukushima,,Tamura City (Otakine River) (inland waters),"16 March,2012",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",,160,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7783,Fukushima,"21 March,2012",Fukushima,,"Kita-shiobara Village (Hibara Lake)
(inland waters)","14 March,2012",________,,"Japanese smelt(wild)
(Hypomesus  nipponensis)",,175,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7784,Fukushima,"21 March,2012",Fukushima,,Nishigo Village,"15 March,2012",______(___,,"Peled whitefish(farmed)
(Coregonus  peled)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7785,Fukushima,"21 March,2012",Fukushima,,Nishigo Village,"15 March,2012",_______,,"Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7786,Fukushima,"21 March,2012",Fukushima,,Shimogo Town,"14 March,2012",_______,,"Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
7787,Fukushima,"21 March,2012",Fukushima,,Kawauchi Village,"14 March,2012",_______,,"Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
