"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,,Sampling date,Item,,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,,,
96,Fukushima,"13,April, 2011",Fukushima,,offshore Iwaki,"13,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)","12,500",,"12,000",,Japan Chemical Analysis  Center,,,
97,Fukushima,"13,April, 2011",Fukushima,,offshore Iwaki,"13,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,390,,300,Japan Chemical Analysis  Center,,,
98,Chiba,"14,April, 2011",Chiba,,Choshi,"13,April, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,4.6,,2.0,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
99,Chiba,"14,April, 2011",Chiba,,Funabashi,"11,April, 2011",___,,"Seabass
(Lateolabrax japonicus)",,2.2,,2.1,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
100,Ibaraki,"14,April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","14,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,419,,520,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
101,Ibaraki,"14,April, 2011",Ibaraki,,"Offshore
Takahagi city","14,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,348,,830,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
102,Ibaraki,"14,April, 2011",Ibaraki,,Offshore Oarai city,"13,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,40,,271,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
103,Chiba,"15,April, 2011",Chiba,,Choshi,"14 April, 2011",_______,,"Anchovy
(Engraulis japonicus)",,7.9,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
104,Chiba,"15,April, 2011",Chiba,,Choshi,"13 April, 2011",____,,"Spear squid
(Loligo bleekeri)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
105,Chiba,"15,April, 2011",Chiba,,Katsuura toubu,"13 April, 2011",___,,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
106,Ibaraki,"16 April, 2011",Ibaraki,,"Offshore
Kamisu city","15 April, 2011",_____,,"Botan shrimp
(Pandalus nipponesis)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
